stamp,raw_flow_attempts,raw_flow_success,raw_flow_after_f,enhanced_flow_attempts,enhanced_flow_success,enhanced_flow_after_f,enhanced_before_bnr,enhanced_removed_bnr,enhanced_after_bnr,published
1403638527.0278296,72,70,70,131,124,124,0,0,0,0
1403638527.0778294,70,69,55,124,120,90,134,0,134,1
1403638527.1278296,82,81,81,134,129,129,0,0,0,0
1403638527.1778295,81,78,58,129,128,90,135,0,135,1
1403638527.2278297,65,64,64,135,131,131,0,0,0,0
1403638527.2778294,64,63,54,131,126,91,130,3,127,1
1403638527.3278296,72,70,70,127,125,125,0,0,0,0
1403638527.3778296,70,68,62,125,120,101,126,0,126,1
1403638527.4278295,86,79,79,126,123,123,0,0,0,0
1403638527.4778295,79,78,72,123,120,110,130,0,130,1
1403638527.5278296,82,81,81,130,129,129,0,0,0,0
1403638527.5778294,81,81,69,129,129,115,136,1,135,1
1403638527.6278296,86,86,86,135,135,135,0,0,0,0
1403638527.6778295,86,84,73,135,135,117,136,0,136,1
1403638527.7278297,85,79,79,136,132,132,0,0,0,0
1403638527.7778294,79,77,62,132,130,111,139,0,139,1
1403638527.8278296,74,73,73,139,138,138,0,0,0,0
1403638527.8778296,73,73,62,138,138,114,136,0,136,1
1403638527.9278295,78,77,77,136,135,135,0,0,0,0
1403638527.9778295,77,76,69,135,135,110,141,4,137,1
1403638528.0278296,80,80,80,137,137,137,0,0,0,0
1403638528.0778294,80,80,67,137,136,102,130,1,129,1
1403638528.1278296,72,72,72,129,126,126,0,0,0,0
1403638528.1778295,72,70,64,126,125,110,136,0,136,1
1403638528.2278297,77,76,76,136,133,133,0,0,0,0
1403638528.2778294,76,73,66,133,132,122,136,0,136,1
1403638528.3278296,93,90,90,136,133,133,0,0,0,0
1403638528.3778296,90,88,71,133,130,111,127,0,127,1
1403638528.4278295,86,85,85,127,126,126,0,0,0,0
1403638528.4778295,85,85,75,126,124,112,143,0,143,1
1403638528.5278296,86,85,85,143,142,142,0,0,0,0
1403638528.5778294,85,85,76,142,136,118,147,0,147,1
1403638528.6278296,87,84,84,147,144,144,0,0,0,0
1403638528.6778295,84,82,77,144,138,118,136,0,136,1
1403638528.7278297,94,91,91,136,134,134,0,0,0,0
1403638528.7778294,91,89,76,134,132,119,147,0,147,1
1403638528.8278296,89,89,89,147,147,147,0,0,0,0
1403638528.8778296,89,89,82,147,145,122,145,0,145,1
1403638528.9278295,95,95,95,145,143,143,0,0,0,0
1403638528.9778295,95,92,81,143,143,132,150,0,150,1
1403638529.0278296,96,95,95,150,148,148,0,0,0,0
1403638529.0778294,95,95,90,148,147,138,150,4,146,1
1403638529.1278296,105,105,105,146,143,143,0,0,0,0
1403638529.1778295,105,104,92,143,143,122,150,0,150,1
1403638529.2278297,102,96,96,150,148,148,0,0,0,0
1403638529.2778294,96,96,63,148,146,115,150,0,150,1
1403638529.3278296,77,74,74,150,147,147,0,0,0,0
1403638529.3778296,74,69,59,147,146,111,150,0,150,1
1403638529.4278295,80,75,75,150,143,143,0,0,0,0
1403638529.4778295,75,72,58,143,136,97,120,0,120,1
1403638529.5278296,74,71,71,120,118,118,0,0,0,0
1403638529.5778294,71,67,51,118,113,89,102,0,102,1
1403638529.6278296,69,67,67,102,99,99,0,0,0,0
1403638529.6778295,67,67,48,99,99,77,114,0,114,1
1403638529.7278297,66,65,65,114,113,113,0,0,0,0
1403638529.7778294,65,64,44,113,113,75,112,0,112,1
1403638529.8278296,61,61,61,112,110,110,0,0,0,0
1403638529.8778296,61,60,43,110,109,75,115,0,115,1
1403638529.9278295,63,63,63,115,114,114,0,0,0,0
1403638529.9778295,63,63,46,114,114,89,115,0,115,1
1403638530.0278296,69,69,69,115,114,114,0,0,0,0
1403638530.0778294,69,68,58,114,113,85,109,0,109,1
1403638530.1278296,108,104,104,109,104,104,0,0,0,0
1403638530.1778295,104,99,90,104,103,85,110,0,110,1
1403638530.2278297,97,94,94,110,106,106,0,0,0,0
1403638530.2778294,94,93,76,106,105,89,103,0,103,1
1403638530.3278296,80,79,79,103,101,101,0,0,0,0
1403638530.3778296,79,77,69,101,99,81,99,0,99,1
1403638530.4278295,73,72,72,99,98,98,0,0,0,0
1403638530.4778295,72,71,67,98,95,84,103,0,103,1
1403638530.5278296,71,70,70,103,101,101,0,0,0,0
1403638530.5778294,70,70,61,101,99,86,96,0,96,1
1403638530.6278296,66,66,66,96,96,96,0,0,0,0
1403638530.6778295,66,64,56,96,93,77,116,0,116,1
1403638530.7278297,62,61,61,116,114,114,0,0,0,0
1403638530.7778294,61,59,49,114,110,80,101,0,101,1
1403638530.8278296,69,67,67,101,99,99,0,0,0,0
1403638530.8778296,67,67,60,99,97,76,99,0,99,1
1403638530.9278295,70,70,70,99,98,98,0,0,0,0
1403638530.9778295,70,70,67,98,98,95,117,0,117,1
1403638531.0278296,128,127,127,117,117,117,0,0,0,0
1403638531.0778294,127,125,124,117,115,104,114,0,114,1
1403638531.1278296,150,149,149,114,114,114,0,0,0,0
1403638531.1778295,149,149,147,114,114,102,108,0,108,1
1403638531.2278297,143,142,142,108,108,108,0,0,0,0
1403638531.2778294,142,142,133,108,108,99,121,0,121,1
1403638531.3278296,141,138,138,121,121,121,0,0,0,0
1403638531.3778296,138,138,128,121,120,112,131,0,131,1
1403638531.4278295,138,138,138,131,131,131,0,0,0,0
1403638531.4778295,138,138,137,131,131,129,148,0,148,1
1403638531.5278296,150,150,150,148,148,148,0,0,0,0
1403638531.5778294,150,150,150,148,148,147,148,0,148,1
1403638531.6278296,150,150,150,148,148,148,0,0,0,0
1403638531.6778295,150,149,149,148,148,146,150,0,150,1
1403638531.7278297,150,150,150,150,150,150,0,0,0,0
1403638531.7778294,150,150,150,150,150,149,150,0,150,1
1403638531.8278296,150,150,150,150,150,150,0,0,0,0
1403638531.8778296,150,150,150,150,150,149,150,0,150,1
1403638531.9278295,150,150,150,150,150,150,0,0,0,0
1403638531.9778295,150,150,150,150,150,149,150,0,150,1
1403638532.0278296,150,150,150,150,150,150,0,0,0,0
1403638532.0778294,150,150,150,150,150,150,150,0,150,1
1403638532.1278296,149,149,149,150,150,150,0,0,0,0
1403638532.1778295,149,149,149,150,150,150,150,0,150,1
1403638532.2278297,150,150,150,150,150,150,0,0,0,0
1403638532.2778294,150,150,150,150,150,150,150,0,150,1
1403638532.3278296,150,150,150,150,150,150,0,0,0,0
1403638532.3778296,150,150,150,150,150,149,150,0,150,1
1403638532.4278295,150,150,150,150,150,150,0,0,0,0
1403638532.4778295,150,150,150,150,150,150,150,0,150,1
1403638532.5278296,150,150,150,150,150,150,0,0,0,0
1403638532.5778294,150,150,150,150,150,149,150,0,150,1
1403638532.6278296,150,150,150,150,150,150,0,0,0,0
1403638532.6778295,150,150,150,150,150,150,150,0,150,1
1403638532.7278297,150,150,150,150,150,150,0,0,0,0
1403638532.7778294,150,150,150,150,150,150,150,0,150,1
1403638532.8278296,150,150,150,150,150,150,0,0,0,0
1403638532.8778296,150,150,150,150,150,150,150,0,150,1
1403638532.9278295,150,150,150,150,150,150,0,0,0,0
1403638532.9778295,150,150,150,150,150,150,150,0,150,1
1403638533.0278296,150,150,150,150,149,149,0,0,0,0
1403638533.0778294,150,150,150,149,149,149,150,0,150,1
1403638533.1278296,150,150,150,150,150,150,0,0,0,0
1403638533.1778295,150,150,150,150,150,150,150,0,150,1
1403638533.2278297,150,150,150,150,150,150,0,0,0,0
1403638533.2778294,150,150,150,150,150,149,150,0,150,1
1403638533.3278296,150,150,150,150,150,150,0,0,0,0
1403638533.3778296,150,150,150,150,150,150,150,0,150,1
1403638533.4278295,150,150,150,150,150,150,0,0,0,0
1403638533.4778295,150,150,150,150,150,150,150,0,150,1
1403638533.5278296,150,150,150,150,150,150,0,0,0,0
1403638533.5778294,150,150,150,150,150,150,150,0,150,1
1403638533.6278296,150,150,150,150,150,150,0,0,0,0
1403638533.6778295,150,150,150,150,150,150,150,0,150,1
1403638533.7278297,150,150,150,150,150,150,0,0,0,0
1403638533.7778294,150,150,150,150,150,150,150,0,150,1
1403638533.8278296,150,150,150,150,150,150,0,0,0,0
1403638533.8778296,150,150,148,150,150,150,150,0,150,1
1403638533.9278295,150,150,150,150,150,150,0,0,0,0
1403638533.9778295,150,149,137,150,150,148,150,0,150,1
1403638534.0278296,145,145,145,150,150,150,0,0,0,0
1403638534.0778294,145,145,139,150,150,149,150,0,150,1
1403638534.1278296,150,150,150,150,150,150,0,0,0,0
1403638534.1778295,150,150,146,150,150,148,150,0,150,1
1403638534.2278297,150,150,150,150,150,150,0,0,0,0
1403638534.2778294,150,150,149,150,150,150,150,0,150,1
1403638534.3278296,150,150,150,150,150,150,0,0,0,0
1403638534.3778296,150,150,144,150,150,147,150,0,150,1
1403638534.4278295,150,150,150,150,150,150,0,0,0,0
1403638534.4778295,150,149,133,150,150,149,150,0,150,1
1403638534.5278296,150,150,150,150,150,150,0,0,0,0
1403638534.5778294,150,149,133,150,150,142,148,0,148,1
1403638534.6278296,150,149,149,148,148,148,0,0,0,0
1403638534.6778295,149,149,139,148,148,146,150,0,150,1
1403638534.7278297,150,150,150,150,150,150,0,0,0,0
1403638534.7778294,150,150,150,150,150,149,150,0,150,1
1403638534.8278296,150,150,150,150,150,150,0,0,0,0
1403638534.8778296,150,150,150,150,150,150,150,0,150,1
1403638534.9278295,150,150,150,150,150,150,0,0,0,0
1403638534.9778295,150,150,150,150,150,150,150,0,150,1
1403638535.0278296,150,150,150,150,150,150,0,0,0,0
1403638535.0778294,150,150,150,150,150,150,150,0,150,1
1403638535.1278296,150,150,150,150,150,150,0,0,0,0
1403638535.1778295,150,150,150,150,150,150,150,0,150,1
1403638535.2278297,150,150,150,150,150,150,0,0,0,0
1403638535.2778294,150,150,150,150,150,150,150,0,150,1
1403638535.3278296,150,150,150,150,150,150,0,0,0,0
1403638535.3778296,150,150,150,150,150,150,150,0,150,1
1403638535.4278295,150,150,150,150,150,150,0,0,0,0
1403638535.4778295,150,150,150,150,150,150,150,0,150,1
1403638535.5278296,150,150,150,150,150,150,0,0,0,0
1403638535.5778294,150,150,150,150,150,150,150,0,150,1
1403638535.6278296,150,150,150,150,150,150,0,0,0,0
1403638535.6778295,150,150,150,150,150,150,150,0,150,1
1403638535.7278297,150,150,150,150,150,150,0,0,0,0
1403638535.7778294,150,150,150,150,150,150,150,0,150,1
1403638535.8278296,150,150,150,150,150,150,0,0,0,0
1403638535.8778296,150,150,150,150,150,150,150,0,150,1
1403638535.9278295,150,150,150,150,150,150,0,0,0,0
1403638535.9778295,150,150,150,150,150,150,150,0,150,1
1403638536.0278296,150,150,150,150,150,150,0,0,0,0
1403638536.0778294,150,150,150,150,150,149,150,0,150,1
1403638536.1278296,150,150,150,150,150,150,0,0,0,0
1403638536.1778295,150,150,150,150,150,150,150,0,150,1
1403638536.2278297,150,150,150,150,150,150,0,0,0,0
1403638536.2778294,150,150,150,150,150,150,150,0,150,1
1403638536.3278296,150,150,150,150,150,150,0,0,0,0
1403638536.3778296,150,150,150,150,150,149,150,0,150,1
1403638536.4278295,150,150,150,150,150,150,0,0,0,0
1403638536.4778295,150,150,150,150,150,149,150,0,150,1
1403638536.5278296,150,150,150,150,150,150,0,0,0,0
1403638536.5778294,150,150,150,150,150,150,150,0,150,1
1403638536.6278296,150,150,150,150,150,150,0,0,0,0
1403638536.6778295,150,150,150,150,150,150,150,0,150,1
1403638536.7278297,150,150,150,150,150,150,0,0,0,0
1403638536.7778294,150,150,150,150,150,150,150,0,150,1
1403638536.8278296,150,150,150,150,150,150,0,0,0,0
1403638536.8778296,150,150,150,150,150,150,150,0,150,1
1403638536.9278295,150,150,150,150,150,150,0,0,0,0
1403638536.9778295,150,150,150,150,150,150,150,0,150,1
1403638537.0278296,150,150,150,150,150,150,0,0,0,0
1403638537.0778294,150,150,150,150,150,150,150,0,150,1
1403638537.1278296,150,150,150,150,150,150,0,0,0,0
1403638537.1778295,150,150,150,150,150,150,150,0,150,1
1403638537.2278297,150,150,150,150,150,150,0,0,0,0
1403638537.2778294,150,150,149,150,150,150,150,0,150,1
1403638537.3278296,150,150,150,150,150,150,0,0,0,0
1403638537.3778296,150,150,150,150,150,149,150,0,150,1
1403638537.4278295,150,150,150,150,150,150,0,0,0,0
1403638537.4778295,150,150,150,150,150,150,150,0,150,1
1403638537.5278296,150,150,150,150,150,150,0,0,0,0
1403638537.5778294,150,150,150,150,150,150,150,0,150,1
1403638537.6278296,150,150,150,150,149,149,0,0,0,0
1403638537.6778295,150,150,150,149,149,149,150,0,150,1
1403638537.7278297,150,150,150,150,150,150,0,0,0,0
1403638537.7778294,150,150,150,150,150,150,150,0,150,1
1403638537.8278296,150,150,150,150,150,150,0,0,0,0
1403638537.8778296,150,150,150,150,150,150,150,0,150,1
1403638537.9278295,150,150,150,150,150,150,0,0,0,0
1403638537.9778295,150,150,150,150,150,150,150,0,150,1
1403638538.0278296,150,150,150,150,150,150,0,0,0,0
1403638538.0778294,150,150,150,150,150,149,150,0,150,1
1403638538.1278296,150,150,150,150,150,150,0,0,0,0
1403638538.1778295,150,150,150,150,150,150,150,0,150,1
1403638538.2278297,150,150,150,150,150,150,0,0,0,0
1403638538.2778294,150,150,150,150,150,150,150,0,150,1
1403638538.3278296,150,150,150,150,150,150,0,0,0,0
1403638538.3778296,150,150,150,150,150,150,150,0,150,1
1403638538.4278295,150,150,150,150,150,150,0,0,0,0
1403638538.4778295,150,150,150,150,150,150,150,0,150,1
1403638538.5278296,150,150,150,150,150,150,0,0,0,0
1403638538.5778294,150,150,150,150,150,150,150,0,150,1
1403638538.6278296,150,150,150,150,150,150,0,0,0,0
1403638538.6778295,150,150,150,150,150,149,150,0,150,1
1403638538.7278297,150,149,149,150,150,150,0,0,0,0
1403638538.7778294,149,148,148,150,150,147,150,5,145,1
1403638538.8278296,150,150,150,145,145,145,0,0,0,0
1403638538.8778296,150,146,138,145,142,134,141,0,141,1
1403638538.9278295,150,144,144,141,132,132,0,0,0,0
1403638538.9778295,144,139,115,132,128,99,122,0,122,1
1403638539.0278296,131,122,122,122,116,116,0,0,0,0
1403638539.0778294,122,113,88,116,105,85,108,0,108,1
1403638539.1278296,89,83,83,108,102,102,0,0,0,0
1403638539.1778295,83,79,53,102,94,58,99,0,99,1
1403638539.2278297,71,63,63,99,91,91,0,0,0,0
1403638539.2778294,63,60,47,91,88,61,95,3,92,1
1403638539.3278296,57,54,54,92,85,85,0,0,0,0
1403638539.3778296,54,51,43,85,85,66,102,0,102,1
1403638539.4278295,64,64,64,102,101,101,0,0,0,0
1403638539.4778295,64,63,48,101,97,79,114,2,112,1
1403638539.5278296,66,66,66,112,107,107,0,0,0,0
1403638539.5778294,66,66,51,107,107,87,123,0,123,1
1403638539.6278296,69,69,69,123,122,122,0,0,0,0
1403638539.6778295,69,67,59,122,120,101,141,0,141,1
1403638539.7278297,100,96,96,141,138,138,0,0,0,0
1403638539.7778294,96,94,82,138,136,122,145,8,137,1
1403638539.8278296,87,86,86,137,135,135,0,0,0,0
1403638539.8778296,86,86,76,135,131,113,150,0,150,1
1403638539.9278295,98,95,95,150,146,146,0,0,0,0
1403638539.9778295,95,95,83,146,143,112,148,4,144,1
1403638540.0278296,89,88,88,144,136,136,0,0,0,0
1403638540.0778294,88,83,74,136,132,105,145,0,145,1
1403638540.1278296,86,81,81,145,135,135,0,0,0,0
1403638540.1778295,81,81,75,135,132,110,140,0,140,1
1403638540.2278297,81,81,81,140,137,137,0,0,0,0
1403638540.2778294,81,77,72,137,127,110,146,0,146,1
1403638540.3278296,86,85,85,146,138,138,0,0,0,0
1403638540.3778296,85,82,63,138,138,115,150,0,150,1
1403638540.4278295,92,91,91,150,145,145,0,0,0,0
1403638540.4778295,91,89,65,145,145,120,150,0,150,1
1403638540.5278296,100,100,100,150,148,148,0,0,0,0
1403638540.5778294,100,99,91,148,147,135,150,2,148,1
1403638540.6278296,113,110,110,148,143,143,0,0,0,0
1403638540.6778295,110,108,101,143,143,129,150,0,150,1
1403638540.7278297,116,115,115,150,146,146,0,0,0,0
1403638540.7778294,115,111,100,146,142,130,148,0,148,1
1403638540.8278296,111,106,106,148,141,141,0,0,0,0
1403638540.8778296,106,102,98,141,138,124,143,0,143,1
1403638540.9278295,134,126,126,143,139,139,0,0,0,0
1403638540.9778295,126,124,114,139,133,121,150,0,150,1
1403638541.0278296,125,122,122,150,143,143,0,0,0,0
1403638541.0778294,122,121,119,143,142,128,148,0,148,1
1403638541.1278296,129,127,127,148,145,145,0,0,0,0
1403638541.1778295,127,124,122,145,141,135,150,0,150,1
1403638541.2278297,130,126,126,150,148,148,0,0,0,0
1403638541.2778294,126,123,121,148,146,137,149,0,149,1
1403638541.3278296,126,124,124,149,147,147,0,0,0,0
1403638541.3778296,124,121,115,147,146,141,150,0,150,1
1403638541.4278295,129,126,126,150,150,150,0,0,0,0
1403638541.4778295,126,123,122,150,148,146,150,0,150,1
1403638541.5278296,135,133,133,150,150,150,0,0,0,0
1403638541.5778294,133,132,129,150,148,133,150,0,150,1
1403638541.6278296,132,132,132,150,149,149,0,0,0,0
1403638541.6778295,132,131,122,149,148,124,150,0,150,1
1403638541.7278297,128,127,127,150,148,148,0,0,0,0
1403638541.7778294,127,122,114,148,144,127,150,0,150,1
1403638541.8278296,134,127,127,150,143,143,0,0,0,0
1403638541.8778296,127,127,116,143,140,119,148,0,148,1
1403638541.9278295,124,124,124,148,143,143,0,0,0,0
1403638541.9778295,124,124,113,143,138,113,142,0,142,1
