stamp,raw_features,enhanced_features_before,enhanced_features_removed,enhanced_features_after,noisy_blocks,maximum_noise_ratio
1403638522.8778296,93,150,0,150,0,10.416666666666668
1403638522.9778295,98,150,0,150,0,5.1648194886425989
1403638523.0778294,103,150,0,150,0,10.173913043478262
1403638523.1778295,109,150,5,145,2,15.892857142857144
1403638523.2778294,116,150,0,150,0,6.3288875074826167
1403638523.3778296,109,150,0,150,0,8.4331797235023043
1403638523.4778295,108,150,0,150,0,4
1403638523.5778294,79,128,0,128,0,5.5953355155482809
1403638523.6778295,98,128,0,128,0,3.4948181560592233
1403638523.7778294,73,120,0,120,0,4.0548098434004478
1403638523.8778296,73,109,0,109,0,6.3555555555555543
1403638523.9778295,61,92,0,92,0,5.065868263473055
1403638524.0778294,96,137,0,137,0,7.323943661971831
1403638524.1778295,82,128,0,128,0,5.7723970944309917
1403638524.2778294,83,116,0,116,0,6.0912653975363948
1403638524.3778296,70,113,0,113,0,4.7448275862068963
1403638524.4778295,84,132,0,132,0,3.9503220704107966
1403638524.5778294,74,129,0,129,0,5.734206033010814
1403638524.6778295,81,143,5,138,1,15.029411764705882
1403638524.7778294,88,150,0,150,0,6.2275449101796401
1403638524.8778296,103,150,0,150,0,4.1670478784919434
1403638524.9778295,127,150,0,150,0,10.534082205769723
1403638525.0778294,128,150,0,150,0,4.4535403977715555
1403638525.1778295,128,150,3,147,1,13.672771972956363
1403638525.2778294,118,150,0,150,0,4.1211931254244369
1403638525.3778296,82,143,0,143,0,9.4516871165644165
1403638525.4778295,69,107,0,107,0,4.5505376344086024
1403638525.5778294,92,136,0,136,0,4.4095394736842106
1403638525.6778295,83,139,0,139,0,5.9579081632653068
1403638525.7778294,80,124,0,124,0,4.763771985836188
1403638525.8778296,69,114,0,114,0,4.2165561409742827
1403638525.9778295,74,122,0,122,0,5.9069200779727096
1403638526.0778294,73,148,0,148,0,9.3774999999999995
1403638526.1778295,66,134,0,134,0,5.098140495867769
1403638526.2778294,68,124,0,124,0,4.9715483677747834
1403638526.3778296,69,121,0,121,0,4.2608695652173907
1403638526.4778295,65,124,0,124,0,10.335416666666667
1403638526.5778294,81,133,0,133,0,10.285714285714286
1403638526.6778295,76,121,0,121,0,3.4448975622406635
1403638526.7778294,75,135,0,135,0,3.3597201604147737
1403638526.8778296,69,123,0,123,0,4.9119318181818183
1403638526.9778295,72,131,0,131,0,3.3278095920293209
1403638527.0778294,82,134,0,134,0,5.1325301204819276
1403638527.1778295,65,135,0,135,0,7.0428571428571418
1403638527.2778294,72,130,3,127,1,inf
1403638527.3778296,86,126,0,126,0,10.076291866125844
1403638527.4778295,82,130,0,130,1,12.119273607748184
1403638527.5778294,86,136,1,135,2,11.665463167537856
1403638527.6778295,85,136,0,136,1,11.887012679227395
1403638527.7778294,74,139,0,139,1,11.143037851513085
1403638527.8778296,78,136,0,136,0,7.3025793650793656
1403638527.9778295,80,141,4,137,1,inf
1403638528.0778294,72,130,1,129,1,11.800872093023257
1403638528.1778295,77,136,0,136,0,6.450828729281767
1403638528.2778294,93,136,0,136,0,9.0451388888888875
1403638528.3778296,86,127,0,127,0,5.0972222222222214
1403638528.4778295,86,143,0,143,0,8.8000000000000007
1403638528.5778294,87,147,0,147,0,3.6235294117647059
1403638528.6778295,94,136,0,136,0,8.3541666666666679
1403638528.7778294,89,147,0,147,0,7.6757142857142862
1403638528.8778296,95,145,0,145,0,6.0941915227629515
1403638528.9778295,96,150,0,150,0,6.0730659025787963
1403638529.0778294,105,150,4,146,1,11.006896551724138
1403638529.1778295,102,150,0,150,0,7.1341463414634152
1403638529.2778294,77,150,0,150,0,4.2803970223325063
1403638529.3778296,80,150,0,150,0,7.7731958762886588
1403638529.4778295,74,120,0,120,0,6.3486486486486493
1403638529.5778294,69,102,0,102,0,5.3153988868274586
1403638529.6778295,66,114,0,114,0,8.0606060606060623
1403638529.7778294,61,112,0,112,0,7.7538461538461529
1403638529.8778296,63,115,0,115,0,5.6450723816392765
1403638529.9778295,69,115,0,115,0,4.7386109776832344
1403638530.0778294,108,109,0,109,0,5.0358978257151463
1403638530.1778295,97,110,0,110,0,5.0160464676715337
1403638530.2778294,80,103,0,103,0,4.3223229171825226
1403638530.3778296,73,99,0,99,0,3.7264206467027989
1403638530.4778295,71,103,0,103,0,6.6199460916442057
1403638530.5778294,66,96,0,96,0,7.3969771172844725
1403638530.6778295,62,116,0,116,0,7.5253830683034364
1403638530.7778294,69,101,0,101,0,7.7667910447761201
1403638530.8778296,70,99,0,99,0,7.2884811416921522
1403638530.9778295,128,117,0,117,0,9.1715414763709386
1403638531.0778294,150,114,0,114,0,6.5258503401360546
1403638531.1778295,143,108,0,108,0,8.5317220543806638
1403638531.2778294,141,121,0,121,0,4.9403409090909092
1403638531.3778296,138,131,0,131,0,10.768903088391905
1403638531.4778295,150,148,0,148,0,5.3584559200672954
1403638531.5778294,150,148,0,148,0,4.7607508532423211
1403638531.6778295,150,150,0,150,0,4.733218588640276
1403638531.7778294,150,150,0,150,0,5.672727272727272
1403638531.8778296,150,150,0,150,0,4.116520039100684
1403638531.9778295,150,150,0,150,0,3.9180790960451981
1403638532.0778294,149,150,0,150,0,4.8016390896499495
1403638532.1778295,150,150,0,150,0,4.236559139784946
1403638532.2778294,150,150,0,150,0,4.5018923967296445
1403638532.3778296,150,150,0,150,0,5.3106134371957152
1403638532.4778295,150,150,0,150,0,5.0435741864313295
1403638532.5778294,150,150,0,150,0,4.3939808481532143
1403638532.6778295,150,150,0,150,0,5.321739130434783
1403638532.7778294,150,150,0,150,0,5.4371657754010698
1403638532.8778296,150,150,0,150,0,3.228515625
1403638532.9778295,150,150,0,150,0,5.9705129561078802
1403638533.0778294,150,150,0,150,0,5.0888788150334729
1403638533.1778295,150,150,0,150,0,4.336283185840708
1403638533.2778294,150,150,0,150,0,5.0729815582605617
1403638533.3778296,150,150,0,150,0,4.9380530973451329
1403638533.4778295,150,150,0,150,0,5.5779467680608361
1403638533.5778294,150,150,0,150,0,6.6842553191489369
1403638533.6778295,150,150,0,150,0,4.6532846715328473
1403638533.7778294,150,150,0,150,0,4.8982142857142854
1403638533.8778296,150,150,0,150,0,4.4094717668488155
1403638533.9778295,145,150,0,150,0,4.821614583333333
1403638534.0778294,150,150,0,150,0,5.7863924050632907
1403638534.1778295,150,150,0,150,0,5.7650796992481199
1403638534.2778294,150,150,0,150,0,4.75794647008036
1403638534.3778296,150,150,0,150,0,4.4187004270896884
1403638534.4778295,150,150,0,150,0,5.1336734693877544
1403638534.5778294,150,148,0,148,0,6.0166007905138335
1403638534.6778295,150,150,0,150,0,5.8489326765188832
1403638534.7778294,150,150,0,150,0,4.9639639639639634
1403638534.8778296,150,150,0,150,0,4.2647058823529402
1403638534.9778295,150,150,0,150,0,7.0201754385964916
1403638535.0778294,150,150,0,150,0,2.5207905544147842
1403638535.1778295,150,150,0,150,0,6.5742397137745971
1403638535.2778294,150,150,0,150,0,5.7570367953006452
1403638535.3778296,150,150,0,150,0,5.0440018527095871
1403638535.4778295,150,150,0,150,0,5.5817307692307692
1403638535.5778294,150,150,0,150,0,5.571260306242638
1403638535.6778295,150,150,0,150,0,5.2721600688468158
1403638535.7778294,150,150,0,150,0,3.7020287105418035
1403638535.8778296,150,150,0,150,0,4.1625615763546797
1403638535.9778295,150,150,0,150,0,3.7373540856031124
1403638536.0778294,150,150,0,150,0,3.764647467725919
1403638536.1778295,150,150,0,150,0,3.6575738125802308
1403638536.2778294,150,150,0,150,0,4.6174698795180733
1403638536.3778296,150,150,0,150,0,5.6283315078495804
1403638536.4778295,150,150,0,150,0,4.4845854004252308
1403638536.5778294,150,150,0,150,0,5.5995085995085994
1403638536.6778295,150,150,0,150,0,3.8993796042249418
1403638536.7778294,150,150,0,150,0,4.7291925465838505
1403638536.8778296,150,150,0,150,0,4.1277966101694918
1403638536.9778295,150,150,0,150,0,3.7061237373737375
1403638537.0778294,150,150,0,150,0,5.3786804032778308
1403638537.1778295,150,150,0,150,0,5.0080437580437582
1403638537.2778294,150,150,0,150,0,5.7721518987341769
1403638537.3778296,150,150,0,150,0,6.2666666666666666
1403638537.4778295,150,150,0,150,0,4.1824271079590227
1403638537.5778294,150,150,0,150,0,3.8209614704842703
1403638537.6778295,150,150,0,150,0,3.8189244383934651
1403638537.7778294,150,150,0,150,0,4.5840621963070944
1403638537.8778296,150,150,0,150,0,7.948170731707318
1403638537.9778295,150,150,0,150,0,4.3529411764705879
1403638538.0778294,150,150,0,150,0,6.4901960784313726
1403638538.1778295,150,150,0,150,0,5.1074380165289259
1403638538.2778294,150,150,0,150,0,5.8066429418742578
1403638538.3778296,150,150,0,150,0,3.7952741702741704
1403638538.4778295,150,150,0,150,0,5.0052570093457946
1403638538.5778294,150,150,0,150,0,3.0177578091570392
1403638538.6778295,150,150,0,150,0,4.4368968439663714
1403638538.7778294,150,150,5,145,1,19.566591661151556
1403638538.8778296,150,141,0,141,0,4.5554185022026434
1403638538.9778295,131,122,0,122,0,4.1134426229508199
1403638539.0778294,89,108,0,108,0,4.6427350427350431
1403638539.1778295,71,99,0,99,0,4.6341736694677866
1403638539.2778294,57,95,3,92,1,27
1403638539.3778296,64,102,0,102,0,4.3781705443354664
1403638539.4778295,66,114,2,112,1,11.25268817204301
1403638539.5778294,69,123,0,123,0,3.7887870956967813
1403638539.6778295,100,141,0,141,0,9.2424242424242422
1403638539.7778294,87,145,8,137,2,36.433793663688057
1403638539.8778296,98,150,0,150,0,9.1127450980392162
1403638539.9778295,89,148,4,144,1,12.804054054054054
1403638540.0778294,86,145,0,145,0,8.487179487179489
1403638540.1778295,81,140,0,140,0,4.9337780623898713
1403638540.2778294,86,146,0,146,1,11.33611111111111
1403638540.3778296,92,150,0,150,0,6.9868131868131869
1403638540.4778295,100,150,0,150,0,6.0299999999999994
1403638540.5778294,113,150,2,148,1,inf
1403638540.6778295,116,150,0,150,0,4.3652173913043475
1403638540.7778294,111,148,0,148,0,2.6539296569691704
1403638540.8778296,134,143,0,143,0,5.7024793388429753
1403638540.9778295,125,150,0,150,0,7.3611111111111116
1403638541.0778294,129,148,0,148,0,5.7025641025641027
1403638541.1778295,130,150,0,150,0,5.5599999999999987
1403638541.2778294,126,149,0,149,0,8.4523809523809526
1403638541.3778296,129,150,0,150,0,7.4802631578947372
1403638541.4778295,135,150,0,150,0,5.0724637681159424
1403638541.5778294,132,150,0,150,0,9.0999999999999996
1403638541.6778295,128,150,0,150,0,7.6322580645161295
1403638541.7778294,134,150,0,150,0,5.2467532467532472
1403638541.8778296,124,148,0,148,0,4.3552061973114595
1403638541.9778295,127,142,0,142,0,9.4596774193548381
1403638542.0778294,130,147,0,147,0,5.6639566395663961
1403638542.1778295,106,137,0,137,0,4.0673094904160818
1403638542.2778294,106,137,0,137,0,4.7423741695274195
1403638542.3778296,118,146,3,143,1,19.279825874030745
1403638542.4778295,116,139,0,139,0,7.2500000000000009
1403638542.5778294,113,150,3,147,1,11.299999999999999
1403638542.6778295,115,148,2,146,1,30
1403638542.7778294,119,148,2,146,1,38.433551198257078
1403638542.8778296,123,150,0,150,0,6.5588235294117645
1403638542.9778295,122,148,3,145,2,23.259902462233853
1403638543.0778294,109,150,0,150,0,5.6038379716059561
1403638543.1778295,122,150,0,150,0,8.5627240143369168
1403638543.2778294,126,150,0,150,0,5.3399999999999999
1403638543.3778296,150,150,5,145,1,11.733926352279417
1403638543.4778295,144,150,0,150,0,7.2842548076923066
1403638543.5778294,143,150,0,150,0,6.0317460317460325
1403638543.6778295,128,150,5,145,1,32.084458905873269
1403638543.7778294,123,150,0,150,0,5.7905671367800471
1403638543.8778296,130,150,3,147,1,10.882460112684958
1403638543.9778295,126,150,3,147,1,12.799999999999999
1403638544.0778294,117,150,4,146,2,37.365269461077844
1403638544.1778295,122,150,4,146,2,35.359430604982208
1403638544.2778294,130,150,2,148,1,90.179842065042038
1403638544.3778296,126,150,0,150,0,5.4182662370245884
1403638544.4778295,122,150,0,150,1,80.257894736842104
1403638544.5778294,116,150,0,150,0,6.2698412698412689
1403638544.6778295,112,150,0,150,0,6.1667252190903357
1403638544.7778294,118,150,0,150,0,8.1914666234273543
1403638544.8778296,130,150,0,150,0,6.918238993710693
1403638544.9778295,132,150,0,150,0,6.1381842950071803
1403638545.0778294,133,150,0,150,0,10.599999999999998
1403638545.1778295,150,150,0,150,0,10.599999999999998
1403638545.2778294,150,150,0,150,0,10.599999999999998
1403638545.3778296,148,150,0,150,0,10.599999999999998
1403638545.4778295,150,150,0,150,0,10.599999999999998
1403638545.5778294,146,150,0,150,0,10.599999999999998
1403638545.6778295,149,150,0,150,0,10.599999999999998
1403638545.7778294,143,150,0,150,0,10.599999999999998
1403638545.8778296,150,150,0,150,0,10.599999999999998
1403638545.9778295,150,150,0,150,0,5.3541666666666661
1403638546.0778294,149,150,0,150,0,9.9411764705882355
1403638546.1778295,150,150,2,148,1,15.944444444444443
1403638546.2778294,150,150,0,150,0,4.0810413094832541
1403638546.3778296,150,150,0,150,0,4.5170526963889843
1403638546.4778295,150,150,0,150,0,4.1683046683046685
1403638546.5778294,150,150,0,150,0,4.573229483820719
1403638546.6778295,150,150,0,150,0,4.3665970772442586
1403638546.7778294,150,150,0,150,0,3.3737142857142861
1403638546.8778296,150,150,0,150,0,3.5567155764624463
1403638546.9778295,150,150,0,150,0,3.8770128900386931
1403638547.0778294,150,150,0,150,0,2.8856197603828737
1403638547.1778295,150,150,0,150,0,5.5131110951112392
1403638547.2778294,150,150,0,150,0,4.7544737943966062
1403638547.3778296,150,150,0,150,0,4.8839672031844934
1403638547.4778295,150,150,0,150,0,7.5586170636048431
1403638547.5778294,150,150,0,150,0,4.7346053398372581
1403638547.6778295,150,150,0,150,0,7.8402111872146119
1403638547.7778294,150,150,0,150,0,7.1649712516585593
1403638547.8778296,150,150,0,150,0,5.506852972588109
1403638547.9778295,150,150,4,146,1,13.736336779911372
1403638548.0778294,150,150,0,150,0,3.2906488878671185
1403638548.1778295,150,150,0,150,0,3.5628742514970058
1403638548.2778294,150,150,0,150,0,4.099681357493858
1403638548.3778296,150,150,0,150,0,3.7232453957192631
1403638548.4778295,146,150,0,150,0,10.244541484716157
1403638548.5778294,140,150,0,150,0,5.6639566395663952
1403638548.6778295,150,150,0,150,0,2.9246660010459755
1403638548.7778294,150,150,0,150,0,2.9998274979439277
1403638548.8778296,145,150,0,150,0,3.6666666666666665
1403638548.9778295,148,150,0,150,0,5.0000000000000009
1403638549.0778294,150,150,0,150,0,6.2372413793103458
1403638549.1778295,150,150,0,150,0,3.4112676056338027
1403638549.2778294,150,150,0,150,0,3.5086206896551722
1403638549.3778296,150,150,0,150,0,3.695348837209302
1403638549.4778295,150,150,0,150,0,4.3771929824561404
1403638549.5778294,146,150,0,150,0,3.0165816326530615
1403638549.6778295,144,150,0,150,0,4.1859456333140548
1403638549.7778294,144,150,0,150,0,4.3567567567567567
1403638549.8778296,150,150,0,150,0,6.613793103448276
1403638549.9778295,147,150,0,150,0,4.2651162790697672
1403638550.0778294,144,150,0,150,0,4.166666666666667
1403638550.1778295,131,150,0,150,0,3.67003367003367
1403638550.2778294,144,150,3,147,1,inf
1403638550.3778296,147,150,0,150,0,4.5244922341696538
1403638550.4778295,137,150,0,150,0,6.1540616246498612
1403638550.5778294,135,150,0,150,0,5.0133333333333336
1403638550.6778295,130,150,0,150,0,3.8695652173913047
1403638550.7778294,125,150,0,150,0,5.3985005767012693
1403638550.8778296,124,143,0,143,0,4.4717348927875245
1403638550.9778295,121,150,0,150,0,3.5907164914621421
1403638551.0778294,116,137,0,137,0,3.9524907749077496
1403638551.1778295,119,150,0,150,0,3.8649768029384881
1403638551.2778294,119,150,0,150,0,5.1511387163561073
1403638551.3778296,115,150,0,150,0,4.0627290378161529
1403638551.4778295,115,150,0,150,0,3.9005123539775588
1403638551.5778294,115,142,0,142,0,4.3767110668784772
1403638551.6778295,107,143,0,143,0,4.1989587211335602
1403638551.7778294,108,133,0,133,0,4.1308240982835382
1403638551.8778296,108,133,0,133,0,4.5517727630340117
1403638551.9778295,108,130,0,130,0,4.6724978178083152
1403638552.0778294,114,139,0,139,0,6.3867187499999991
1403638552.1778295,112,139,0,139,0,4.979838709677419
1403638552.2778294,112,150,0,150,0,6.713043478260869
1403638552.3778296,108,150,0,150,0,4.8071748878923763
1403638552.4778295,106,143,0,143,0,4.1905866249458352
1403638552.5778294,119,150,0,150,0,4.4883741569045084
1403638552.6778295,117,150,0,150,0,4.0882352941176476
1403638552.7778294,112,142,0,142,0,4.1802530674846627
1403638552.8778296,110,150,0,150,0,4.3137931034482753
1403638552.9778295,106,150,0,150,0,3.7195309621345118
1403638553.0778294,108,148,0,148,0,4.3489669345664064
1403638553.1778295,115,142,0,142,0,9.7359154929577461
1403638553.2778294,114,144,0,144,0,5.1104166666666657
1403638553.3778296,114,134,0,134,0,5.4337899543379002
1403638553.4778295,110,150,0,150,0,4.6234131099762381
1403638553.5778294,109,130,0,130,0,5.1142976331822076
1403638553.6778295,111,150,0,150,0,5.3159151908309923
1403638553.7778294,109,150,0,150,0,4.9033731585449054
1403638553.8778296,110,150,0,150,0,5.1520986919528724
1403638553.9778295,112,150,0,150,0,4.3248134430334284
1403638554.0778294,114,138,0,138,0,4.3576069519205118
1403638554.1778295,114,138,0,138,0,4.7287449392712553
1403638554.2778294,131,132,0,132,0,8
1403638554.3778296,125,139,0,139,0,4.3275104141632621
1403638554.4778295,125,150,0,150,0,6.0287499999999996
1403638554.5778294,143,150,0,150,0,5.1893939393939403
1403638554.6778295,136,150,0,150,0,4.0630132394838272
1403638554.7778294,136,150,0,150,0,3.9078305635838149
1403638554.8778296,134,150,0,150,0,4.0442478265525095
1403638554.9778295,136,150,0,150,0,3.697478991596638
1403638555.0778294,138,147,0,147,0,3.7462726890672218
1403638555.1778295,140,147,0,147,0,3.6790303738317758
1403638555.2778294,129,150,0,150,0,4.2359281437125755
1403638555.3778296,131,150,0,150,0,6.2094155844155852
1403638555.4778295,124,150,0,150,0,4.9142857142857146
1403638555.5778294,131,144,0,144,0,5.5650557620817844
1403638555.6778295,129,150,0,150,0,4.6520833333333336
1403638555.7778294,131,150,0,150,0,4.5840707964601766
1403638555.8778296,136,150,0,150,0,4.1663716814159297
1403638555.9778295,133,150,0,150,0,5.5282392026578071
1403638556.0778294,130,150,0,150,0,6.3066666666666675
1403638556.1778295,136,150,3,147,1,11.392935982339955
1403638556.2778294,137,150,0,150,0,6.8600000000000003
1403638556.3778296,136,150,0,150,0,5.7868852459016393
1403638556.4778295,134,149,0,149,0,7.9615384615384608
1403638556.5778294,135,150,0,150,0,6.75
1403638556.6778295,138,150,0,150,0,4.8221277437215733
1403638556.7778294,145,150,0,150,0,5.6345177664974617
1403638556.8778296,134,150,0,150,0,3.9456521739130435
1403638556.9778295,131,147,0,147,0,4.2852014569486689
1403638557.0778294,122,138,0,138,0,6.697318007662834
1403638557.1778295,125,145,0,145,0,6.5496402877697859
1403638557.2778294,122,150,0,150,0,9.4036544850498345
1403638557.3778296,121,150,0,150,0,5.6439560439560443
1403638557.4778295,114,140,0,140,0,6.7674418604651168
1403638557.5778294,114,150,0,150,0,4.5525412676420443
1403638557.6778295,115,150,0,150,0,5.0391594458341773
1403638557.7778294,113,142,0,142,0,6.4258064516129014
1403638557.8778296,117,150,0,150,0,4.7212396064781306
1403638557.9778295,114,150,0,150,0,4.6615460010337912
1403638558.0778294,109,142,0,142,0,4.7858585858585858
1403638558.1778295,110,150,0,150,0,9.7717391304347831
1403638558.2778294,105,150,0,150,0,5.1793893129770989
1403638558.3778296,105,148,0,148,0,5.0674747474747486
1403638558.4778295,101,150,0,150,0,4.8888888888888884
1403638558.5778294,102,150,0,150,0,5.1365853658536587
1403638558.6778295,101,148,0,148,0,4.4799080600835648
1403638558.7778294,100,150,0,150,0,5.65289256198347
1403638558.8778296,103,150,0,150,0,7.5614035087719298
1403638558.9778295,94,149,0,149,0,5.6262626262626263
1403638559.0778294,91,143,0,143,0,5.2555113185468141
1403638559.1778295,94,139,0,139,0,8.0829959514170042
1403638559.2778294,87,145,0,145,0,9.1022222222222204
1403638559.3778296,83,148,0,148,0,5.3873785788679411
1403638559.4778295,85,148,0,148,0,5.9718309859154921
1403638559.5778294,88,150,3,147,1,13.000088095576926
1403638559.6778295,88,150,0,150,0,8.2509603072983353
1403638559.7778294,92,146,0,146,0,7.3535576392719255
1403638559.8778296,90,150,1,149,1,10.857638888888889
1403638559.9778295,85,142,0,142,0,6.1255230648163188
1403638560.0778294,84,133,0,133,0,6
1403638560.1778295,78,126,3,123,1,59.777777777777779
1403638560.2778294,66,124,0,124,0,6.3451986754966887
1403638560.3778296,62,137,0,137,1,11.787675070028012
1403638560.4778295,68,139,0,139,0,5.777333333333333
1403638560.5778294,63,150,0,150,0,8.2646239554317553
1403638560.6778295,69,149,0,149,0,8.637931034482758
1403638560.7778294,89,150,0,150,0,7.767638360794253
1403638560.8778296,84,150,0,150,0,6.172307361979656
1403638560.9778295,82,150,0,150,0,10.75
1403638561.0778294,74,150,0,150,0,9.5515135014851804
1403638561.1778295,73,149,0,149,0,6.8327645051194548
1403638561.2778294,71,150,0,150,0,5.5414483068411968
1403638561.3778296,83,150,0,150,0,6.587435547064322
1403638561.4778295,93,147,0,147,0,4.0881845514125095
1403638561.5778294,91,150,4,146,1,66.512
1403638561.6778295,88,150,0,150,0,6.2539267942773922
1403638561.7778294,95,150,0,150,0,4.5051885598582642
1403638561.8778296,94,150,0,150,0,7.5306122448979593
1403638561.9778295,91,149,0,149,0,4.638398319185006
1403638562.0778294,93,150,0,150,0,6.9618636917542096
1403638562.1778295,91,150,0,150,0,5.5886751866735196
1403638562.2778294,99,150,0,150,0,5.4139068954843639
1403638562.3778296,101,149,0,149,0,6.2321428571428577
1403638562.4778295,97,150,0,150,0,5.3137254901960782
1403638562.5778294,97,150,0,150,0,5.8812035831865863
1403638562.6778295,91,146,0,146,0,5.7210806270996653
1403638562.7778294,86,143,0,143,0,5.0901233951141531
1403638562.8778296,111,145,0,145,0,3.7847222222222223
1403638562.9778295,103,150,0,150,0,4.7890410958904113
1403638563.0778294,102,150,0,150,0,5.8541033434650451
1403638563.1778295,101,150,0,150,0,3.5429447852760734
1403638563.2778294,95,140,0,140,0,4.1904761904761907
1403638563.3778296,92,150,0,150,0,4.7058823529411766
1403638563.4778295,113,144,0,144,0,4.921875
1403638563.5778294,114,147,0,147,0,2.8045804785481776
1403638563.6778295,113,150,0,150,0,3.8805970149253741
1403638563.7778294,108,150,0,150,0,3.9924242424242422
1403638563.8778296,118,150,0,150,0,10.599999999999998
1403638563.9778295,130,150,0,150,0,10.599999999999998
1403638564.0778294,124,150,1,149,2,55.413127413127427
1403638564.1778295,123,150,0,150,1,67.51612903225805
1403638564.2778294,115,150,0,150,0,10.599999999999998
1403638564.3778296,113,141,0,141,1,16.566666666666666
1403638564.4778295,105,137,0,137,1,17.649999999999999
1403638564.5778294,114,144,1,143,1,167.21531791907515
1403638564.6778295,80,135,0,135,0,3.9518976335734051
1403638564.7778294,82,136,0,136,1,14.545454545454549
1403638564.8778296,90,132,0,132,0,8.0138773985215224
1403638564.9778295,88,128,0,128,1,22.347465020842083
1403638565.0778294,81,128,0,128,0,3.6369603916332895
1403638565.1778295,72,129,0,129,1,23.806034939121233
1403638565.2778294,62,116,0,116,1,17.183138936381621
1403638565.3778296,64,115,0,115,1,13.145805293853744
1403638565.4778295,61,108,0,108,1,60.723062953995154
1403638565.5778294,60,104,0,104,0,10.124731182795699
1403638565.6778295,58,116,0,116,0,9.385560675883255
1403638565.7778294,62,111,1,110,1,16.797225777153944
1403638565.8778296,62,106,0,106,0,3.0715116802492619
1403638565.9778295,62,111,0,111,0,3.9765812281025261
1403638566.0778294,58,113,0,113,0,3.6936006216006207
1403638566.1778295,59,104,0,104,0,3.6082524269634164
1403638566.2778294,66,98,0,98,0,3.510029369605606
1403638566.3778296,65,100,0,100,0,3.8179000643711105
1403638566.4778295,71,95,0,95,0,3.9017543859649124
1403638566.5778294,73,95,0,95,0,2.8785071466384329
1403638566.6778295,80,107,0,107,0,3.9517269528190537
1403638566.7778294,86,100,0,100,0,3.8947128832009179
1403638566.8778296,80,115,0,115,0,5.0920397603930345
1403638566.9778295,89,118,6,112,1,13.664458451247748
1403638567.0778294,87,117,0,117,0,5.9125632565001496
1403638567.1778295,91,126,0,126,0,6.0417304214772569
1403638567.2778294,87,119,0,119,0,5.6587809036658143
1403638567.3778296,95,123,0,123,0,3.7082359834474681
1403638567.4778295,90,133,0,133,0,5.1275906065726407
1403638567.5778294,93,129,5,124,1,14.322959322959319
1403638567.6778295,96,129,0,129,0,3.649481303404845
1403638567.7778294,97,143,0,143,0,2.834523134934869
1403638567.8778296,107,141,0,141,0,3.3470383275261324
1403638567.9778295,109,148,0,148,0,4.5731843575418987
1403638568.0778294,111,147,0,147,0,3.2573099415204685
1403638568.1778295,114,140,0,140,0,2.6516137816286407
1403638568.2778294,115,150,3,147,1,14.457920792079207
1403638568.3778296,124,145,0,145,0,2.3738808598728056
1403638568.4778295,125,150,0,150,0,2.6456692913385829
1403638568.5778294,127,150,0,150,0,3.1111805839796305
